id,experiment,condition,n_check,n_hit,infer,scan,check_rate,hit_rate,human_hit,content
exp1_check_ext_0,1,unknown,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_check_ext_3,1,unknown,6,1,2,1,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_check_ext_6,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_7,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_8,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_12,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_13,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_15,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_16,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_17,1,unknown,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_check_ext_18,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_19,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_20,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_21,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_22,1,unknown,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_check_ext_23,1,unknown,6,1,6,0,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_24,1,unknown,6,1,3,1,1.0,0.16666666666666666,0.5,1 out of 6
exp1_check_ext_25,1,unknown,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_check_ext_26,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_27,1,unknown,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_check_ext_28,1,unknown,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_check_ext_29,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_31,1,unknown,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_check_ext_32,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_33,1,unknown,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_check_ext_34,1,unknown,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_check_ext_35,1,unknown,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_check_ext_36,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_37,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_38,1,unknown,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_check_ext_39,1,unknown,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_check_ext_40,1,unknown,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_check_ext_41,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_42,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_43,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_44,1,unknown,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_check_ext_45,1,unknown,6,1,6,0,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_46,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_47,1,unknown,6,1,3,1,1.0,0.16666666666666666,0.5,1 out of 6
exp1_check_ext_48,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_49,1,unknown,6,1,0,1,1.0,0.16666666666666666,0.0,1 out of 6
exp1_check_ext_50,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_51,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_52,1,unknown,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_check_ext_53,1,unknown,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_both_ext_0,1,6_counter,6,1,3,0,1.0,0.16666666666666666,0.5,1 out of 6
exp1_both_ext_1,1,6_counter,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_both_ext_4,1,6_counter,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_5,1,6_counter,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_6,1,6_counter,6,1,2,1,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_both_ext_7,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_9,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_13,1,6_counter,6,1,2,1,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_both_ext_14,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_15,1,6_counter,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_both_ext_16,1,6_counter,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_both_ext_17,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_18,1,6_counter,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_both_ext_19,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_21,1,6_counter,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_both_ext_22,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_24,1,6_counter,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_both_ext_25,1,6_counter,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_both_ext_26,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_27,1,6_counter,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_28,1,6_counter,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_both_ext_29,1,6_counter,6,1,6,0,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_31,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_32,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_33,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_34,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_35,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_36,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_37,1,6_counter,6,1,2,0,1.0,0.16666666666666666,0.3333333333333333,1 out of 6
exp1_both_ext_38,1,6_counter,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_39,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_40,1,6_counter,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_both_ext_41,1,6_counter,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_42,1,6_counter,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_both_ext_43,1,6_counter,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_both_ext_44,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_45,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_46,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_47,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_48,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_49,1,6_counter,6,1,3,1,1.0,0.16666666666666666,0.5,1 out of 6
exp1_both_ext_50,1,6_counter,6,1,4,1,1.0,0.16666666666666666,0.6666666666666666,1 out of 6
exp1_both_ext_51,1,6_counter,6,1,6,1,1.0,0.16666666666666666,1.0,1 out of 6
exp1_both_ext_52,1,6_counter,6,1,5,1,1.0,0.16666666666666666,0.8333333333333334,1 out of 6
exp1_both_ext_53,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_54,1,6_counter,6,1,1,1,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_55,1,6_counter,6,1,1,0,1.0,0.16666666666666666,0.16666666666666666,1 out of 6
exp1_both_ext_57,1,6_counter,6,1,0,0,1.0,0.16666666666666666,0.0,1 out of 6
exp1_check_ext_0,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_3,1,unknown,6,0,2,1,1.0,0.0,0.3333333333333333,0 out of 6
exp1_check_ext_6,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_7,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_8,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_12,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_13,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_15,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_16,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_17,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_18,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_19,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_20,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_21,1,unknown,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_check_ext_22,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_23,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_24,1,unknown,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_check_ext_25,1,unknown,6,0,3,1,1.0,0.0,0.5,0 out of 6
exp1_check_ext_26,1,unknown,6,0,6,0,1.0,0.0,1.0,0 out of 6
exp1_check_ext_27,1,unknown,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_check_ext_28,1,unknown,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_check_ext_29,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_31,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_32,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_33,1,unknown,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_check_ext_34,1,unknown,6,0,4,0,1.0,0.0,0.6666666666666666,0 out of 6
exp1_check_ext_35,1,unknown,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_check_ext_36,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_37,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_38,1,unknown,6,0,2,1,1.0,0.0,0.3333333333333333,0 out of 6
exp1_check_ext_39,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_40,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_41,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_42,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_43,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_44,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_check_ext_45,1,unknown,6,0,6,0,1.0,0.0,1.0,0 out of 6
exp1_check_ext_46,1,unknown,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_check_ext_47,1,unknown,6,0,3,0,1.0,0.0,0.5,0 out of 6
exp1_check_ext_48,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_49,1,unknown,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_check_ext_50,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_51,1,unknown,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_check_ext_52,1,unknown,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_check_ext_53,1,unknown,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_both_ext_0,1,6_counter,6,0,2,0,1.0,0.0,0.3333333333333333,0 out of 6
exp1_both_ext_1,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_4,1,6_counter,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_both_ext_5,1,6_counter,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_both_ext_6,1,6_counter,6,0,2,0,1.0,0.0,0.3333333333333333,0 out of 6
exp1_both_ext_7,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_9,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_13,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_14,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_15,1,6_counter,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_both_ext_16,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_17,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_18,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_19,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_21,1,6_counter,6,0,2,0,1.0,0.0,0.3333333333333333,0 out of 6
exp1_both_ext_22,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_24,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_25,1,6_counter,6,0,3,1,1.0,0.0,0.5,0 out of 6
exp1_both_ext_26,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_27,1,6_counter,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_both_ext_28,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_29,1,6_counter,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_both_ext_31,1,6_counter,6,0,2,0,1.0,0.0,0.3333333333333333,0 out of 6
exp1_both_ext_32,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_33,1,6_counter,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_both_ext_34,1,6_counter,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_both_ext_35,1,6_counter,6,0,1,0,1.0,0.0,0.16666666666666666,0 out of 6
exp1_both_ext_36,1,6_counter,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_both_ext_37,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_38,1,6_counter,6,0,6,0,1.0,0.0,1.0,0 out of 6
exp1_both_ext_39,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_40,1,6_counter,6,0,4,1,1.0,0.0,0.6666666666666666,0 out of 6
exp1_both_ext_41,1,6_counter,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_both_ext_42,1,6_counter,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_both_ext_43,1,6_counter,6,0,3,0,1.0,0.0,0.5,0 out of 6
exp1_both_ext_44,1,6_counter,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_both_ext_45,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_46,1,6_counter,6,0,3,1,1.0,0.0,0.5,0 out of 6
exp1_both_ext_47,1,6_counter,6,0,3,1,1.0,0.0,0.5,0 out of 6
exp1_both_ext_48,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_49,1,6_counter,6,0,2,1,1.0,0.0,0.3333333333333333,0 out of 6
exp1_both_ext_50,1,6_counter,6,0,5,1,1.0,0.0,0.8333333333333334,0 out of 6
exp1_both_ext_51,1,6_counter,6,0,6,1,1.0,0.0,1.0,0 out of 6
exp1_both_ext_52,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_53,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_both_ext_54,1,6_counter,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_both_ext_55,1,6_counter,6,0,0,1,1.0,0.0,0.0,0 out of 6
exp1_both_ext_57,1,6_counter,6,0,0,0,1.0,0.0,0.0,0 out of 6
exp1_check_ext_0,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_3,1,unknown,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_check_ext_6,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_7,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_8,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_12,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_13,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_15,1,unknown,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_check_ext_16,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_17,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_check_ext_18,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_19,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_20,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_check_ext_21,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_22,1,unknown,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_check_ext_23,1,unknown,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_check_ext_24,1,unknown,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_check_ext_25,1,unknown,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_check_ext_26,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_27,1,unknown,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_check_ext_28,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_check_ext_29,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_31,1,unknown,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_check_ext_32,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_33,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_check_ext_34,1,unknown,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_check_ext_35,1,unknown,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_check_ext_36,1,unknown,5,1,5,0,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_37,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_38,1,unknown,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_check_ext_39,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_40,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_check_ext_41,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_42,1,unknown,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_check_ext_43,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_44,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_check_ext_45,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_46,1,unknown,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_check_ext_47,1,unknown,5,1,3,0,0.8333333333333334,0.2,0.5,1 out of 5
exp1_check_ext_48,1,unknown,5,1,5,0,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_49,1,unknown,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_check_ext_50,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_51,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_52,1,unknown,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_check_ext_53,1,unknown,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_0,1,6_counter,5,1,3,0,0.8333333333333334,0.2,0.5,1 out of 5
exp1_both_ext_1,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_4,1,6_counter,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_both_ext_5,1,6_counter,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_both_ext_6,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_7,1,6_counter,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_9,1,6_counter,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_13,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_14,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_15,1,6_counter,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_16,1,6_counter,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_17,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_18,1,6_counter,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_19,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_21,1,6_counter,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_22,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_24,1,6_counter,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_25,1,6_counter,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_26,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_27,1,6_counter,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_both_ext_28,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_29,1,6_counter,5,1,6,1,0.8333333333333334,0.2,1.0,1 out of 5
exp1_both_ext_31,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_32,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_33,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_34,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_35,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_36,1,6_counter,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_37,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_38,1,6_counter,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
exp1_both_ext_39,1,6_counter,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_both_ext_40,1,6_counter,5,1,3,1,0.8333333333333334,0.2,0.5,1 out of 5
exp1_both_ext_41,1,6_counter,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_42,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_43,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_44,1,6_counter,5,1,1,1,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_45,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_46,1,6_counter,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_47,1,6_counter,5,1,2,1,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_48,1,6_counter,5,1,2,0,0.8333333333333334,0.2,0.3333333333333333,1 out of 5
exp1_both_ext_49,1,6_counter,5,1,1,0,0.8333333333333334,0.2,0.16666666666666666,1 out of 5
exp1_both_ext_50,1,6_counter,5,1,4,1,0.8333333333333334,0.2,0.6666666666666666,1 out of 5
exp1_both_ext_51,1,6_counter,5,1,5,1,0.8333333333333334,0.2,0.8333333333333334,1 out of 5
